sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
361,367815073.1818578,254774550.68428075,113040522.49757707,0.6926702282217598
362,399287970.17937756,374146907.86737907,25141062.311998487,0.9370352622927657
363,372750376.527831,300201484.24402755,72548892.28380346,0.8053686948364849
364,420983503.03663665,307598958.9647903,113384544.07184637,0.7306674887401017
365,434019315.8451319,373422016.04145396,60597299.80367792,0.8603810992013534
366,368636393.3255316,261949442.6833625,106686950.64216909,0.7105902928364507
367,383322304.827463,255010456.35631016,128311848.47115281,0.6652638084055474
368,398009901.2979023,269307113.95670944,128702787.34119284,0.6766342070348108
369,416971249.6526982,239727555.15539154,177243694.49730667,0.574925862046998
370,377653568.13593256,260462804.77140468,117190763.36452788,0.6896871279597012
371,364045919.94460154,264165038.23146802,99880881.71313351,0.7256365852738226
372,443425354.1417169,399867021.1264617,43558333.01525521,0.9017685105093604
373,423100913.96759784,286037808.2440448,137063105.72355306,0.6760510289655159
374,442429383.1721045,268654189.0046543,173775194.1674502,0.6072250153877057
375,423620322.2683016,263950497.69044688,159669824.57785472,0.6230827083014039
376,443004634.48804265,207387072.6074472,235617561.88059545,0.4681374786227996
377,451068421.98914933,328995108.68034184,122073313.30880749,0.7293685229161442
378,403088144.7758845,258233722.8804524,144854421.8954321,0.6406383472876122
379,399962914.1622181,346824993.36769944,53137920.79451865,0.8671428802197225
380,393857150.1706693,320841673.58874476,73015476.58192456,0.8146143175253137
381,369551336.5924933,316889326.86993146,52662009.722561836,0.8574974448526144
382,369944725.09422153,289851426.21978503,80093298.8744365,0.7834992812668502
383,412375907.7364406,321705350.3082877,90670557.42815292,0.7801264435503767
384,374255605.7793769,241487572.88111007,132768032.89826685,0.6452477107943885
385,368687642.74493635,362742471.8773029,5945170.867633462,0.9838747758851619
386,416937273.7882355,372173384.72157115,44763889.06666434,0.8926363942951281
387,415780090.94978696,267879488.9078603,147900602.04192665,0.644281664126654
388,381545533.7549137,266397114.39381546,115148419.36109823,0.6982053014016828
389,347122428.6044813,275248606.2670648,71873822.33741647,0.7929438825766253
390,410080413.3072052,281300560.61728126,128779852.68992394,0.6859643901269419
391,366037548.4991262,201911132.19457716,164126416.30454904,0.5516131692567577
392,365897314.5942418,238790656.0984226,127106658.49581921,0.652616585511777
393,382639368.8310973,274163333.6196168,108476035.2114805,0.7165058171017331
394,375108129.5539516,342706225.09456056,32401904.459391057,0.9136198287733172
395,425887162.6121475,350769010.44555926,75118152.16658825,0.8236195904430258
396,416863957.0159678,252498898.31722972,164365058.69873807,0.6057105539291272
397,405034432.91456294,273011974.85504955,132022458.05951339,0.6740463345066716
398,404328164.567426,224254677.3068649,180073487.26056114,0.5546353110147192
