municipio,date,anio,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Marmato,2020-12-31,2020,0.700444082860377,0.7356997842226359,0.0762,0.9993,0.14241571482703164,668.0416666666666
Marmato,2021-12-31,2021,0.6701896097819794,0.711235528464966,0.0433,0.9994,0.17298254918886427,667.625
Marmato,2022-12-31,2022,0.6454298896708791,0.6870083918440607,0.0354,0.9986,0.1825020092816492,666.6666666666666
Marmato,2023-12-31,2023,0.7388849466916078,0.7553727775479553,0.0557,0.9959,0.10415990252780395,667.7916666666666
Marmato,2024-12-31,2024,0.6638437510895957,0.7014255514592538,0.0317,0.998,0.159751795250819,667.875
Marmato,2025-12-31,2025,0.6428501764716843,0.6762704426456505,0.0126,0.9995,0.16450161566230614,667.75
Marquetalia,2005-12-31,2005,0.6880290221890425,0.7288083290569686,0.0176,0.9995,0.1539875880327076,1586.25
Marquetalia,2006-12-31,2006,0.6859723998173743,0.7115643456278301,0.0236,0.9992,0.15707727818477266,1586.2916666666667
Marquetalia,2007-12-31,2007,0.7041646498668418,0.7218246725186589,0.0266,0.9994,0.1326696151939082,1586.1666666666667
Marquetalia,2008-12-31,2008,0.6476847947944657,0.6806702366346077,0.0039,0.9992,0.1721208882693229,1585.9583333333333
Marquetalia,2009-12-31,2009,0.7183201898152226,0.7456061022423831,0.001,0.9993,0.13127777748365677,1586.375
Marquetalia,2010-12-31,2010,0.6990110492936753,0.7288204115474554,0.0133,0.9986,0.15470206983254708,1586.4166666666667
Marquetalia,2011-12-31,2011,0.6623672176337624,0.6868479273239937,0.0307,0.999,0.1647442733753606,1586.2916666666667
Marquetalia,2012-12-31,2012,0.7258479681412516,0.7556044108528374,0.0194,0.9992,0.1270944977814714,1586.0833333333333
Marquetalia,2013-12-31,2013,0.7208344597827877,0.7329453739100499,0.0104,0.9987,0.10385837326867713,1586.3333333333333
Marquetalia,2014-12-31,2014,0.6909218120862647,0.7025631653619068,0.0007,0.9992,0.13594764957287436,1586.4166666666667
Marquetalia,2015-12-31,2015,0.778495435587205,0.8034367773551848,0.0429,0.9989,0.0986437033638296,1586.5
Marquetalia,2016-12-31,2016,0.686753117108355,0.7136714246897456,0.0216,0.9995,0.12889744125930627,1586.1666666666667
