municipio,date,anio,et_real_mm,et_potencial_mm,n_pixeles
Norcasia,2014-12-31,2014,1358.0526838235296,1382.6712132352945,24.0
Norcasia,2015-12-31,2015,1341.1768014705885,1421.9427573529415,24.0
Norcasia,2016-12-31,2016,1227.0018014705886,1344.6943014705885,24.0
Norcasia,2017-12-31,2017,1322.8245955882355,1355.5008088235297,24.0
Norcasia,2018-12-31,2018,1269.9775000000002,1303.7830882352944,24.0
Norcasia,2019-12-31,2019,1192.934191176471,1513.2402573529414,24.0
Norcasia,2020-12-31,2020,1250.6658823529415,1532.0061397058828,24.0
Norcasia,2021-12-31,2021,1286.0398529411768,1428.9949632352946,24.0
Norcasia,2022-12-31,2022,1275.3353676470592,1351.4300000000003,24.0
Norcasia,2023-12-31,2023,1362.977573529412,1469.0679411764709,24.0
Norcasia,2024-12-31,2024,1238.2200000000003,1477.7624264705887,24.0
Palestina,2005-12-31,2005,1168.7821029082775,1174.653094705444,12.0
Palestina,2006-12-31,2006,1168.437360178971,1182.8976137211037,12.0
Palestina,2007-12-31,2007,1110.4622669649516,1174.6051454138703,12.0
Palestina,2008-12-31,2008,1159.1190156599553,1159.124235645041,12.0
Palestina,2009-12-31,2009,1193.8674123788219,1208.464802386279,12.0
Palestina,2010-12-31,2010,1098.1028337061896,1214.4222222222222,12.0
Palestina,2011-12-31,2011,1187.136465324385,1187.1803131991053,12.0
Palestina,2012-12-31,2012,1223.569052945563,1237.6903803131993,12.0
Palestina,2013-12-31,2013,1149.1516778523492,1220.8252796420581,12.0
Palestina,2014-12-31,2014,1180.2072334079048,1229.047725577927,12.0
Palestina,2015-12-31,2015,1167.2831469052946,1277.760700969426,12.0
Palestina,2016-12-31,2016,1118.405667412379,1215.6744220730798,12.0
Palestina,2017-12-31,2017,1191.7815063385535,1213.7430275913498,12.0
Palestina,2018-12-31,2018,1131.6610738255035,1158.4759134973901,12.0
Palestina,2019-12-31,2019,1314.7018642803878,1342.7521998508576,12.0
Palestina,2020-12-31,2020,1240.0188665175244,1362.3833706189412,12.0
Palestina,2021-12-31,2021,1259.1454884414616,1261.516480238628,12.0
Palestina,2022-12-31,2022,1192.5700969425802,1204.3211782252051,12.0
Palestina,2023-12-31,2023,1263.7434750186428,1269.6520507084267,12.0
Palestina,2024-12-31,2024,1270.10947054437,1296.2387770320656,12.0
Pensilvania,2005-12-31,2005,1029.7541520467837,1033.8343358395991,40.0
Pensilvania,2006-12-31,2006,1023.2038763575607,1032.7714285714287,40.0
Pensilvania,2007-12-31,2007,1006.3635421888055,1025.2821219715956,40.0
Pensilvania,2008-12-31,2008,997.122940685046,997.5965747702592,40.0
Pensilvania,2009-12-31,2009,1048.2752213868005,1051.9873684210527,40.0
Pensilvania,2010-12-31,2010,996.6388972431079,1047.358746867168,40.0
Pensilvania,2011-12-31,2011,1024.8232414369256,1025.035873015873,40.0
Pensilvania,2012-12-31,2012,1074.902740183793,1081.6323308270678,40.0
Pensilvania,2013-12-31,2013,1037.460016708438,1067.2756390977445,40.0
Pensilvania,2014-12-31,2014,1054.9697744360903,1074.0873684210528,40.0
Pensilvania,2015-12-31,2015,1067.1626733500418,1106.6963909774438,40.0
Pensilvania,2016-12-31,2016,1021.4287552213868,1043.1325814536342,40.0
Pensilvania,2017-12-31,2017,1041.2267669172934,1052.6526482873853,40.0
Pensilvania,2018-12-31,2018,1014.9137343358396,1029.1201336675022,40.0
Pensilvania,2019-12-31,2019,1032.9802005012532,1181.1759064327487,40.0
Pensilvania,2020-12-31,2020,1171.3393483709276,1202.852330827068,40.0
Pensilvania,2021-12-31,2021,1059.2148538011697,1108.0514619883043,40.0
Pensilvania,2022-12-31,2022,1051.2349373433585,1052.345881370092,40.0
Pensilvania,2023-12-31,2023,1107.2407518796995,1125.4885881370094,40.0
Pensilvania,2024-12-31,2024,1041.4879866332499,1156.7947702589809,40.0
Pácora,2005-12-31,2005,1097.2081599479843,1101.8211313394017,21.0
Pácora,2006-12-31,2006,1089.7929778933678,1103.6423927178153,21.0
Pácora,2007-12-31,2007,1040.510923276983,1092.1848504551365,21.0
Pácora,2008-12-31,2008,1073.8516905071522,1075.9635890767229,21.0
Pácora,2009-12-31,2009,1116.9787061118334,1121.5158972691806,21.0
Pácora,2010-12-31,2010,1032.793855656697,1124.274577373212,21.0
Pácora,2011-12-31,2011,1103.3261378413524,1103.8756501950584,21.0
Pácora,2012-12-31,2012,1150.1967815344603,1158.0269180754226,21.0
Pácora,2013-12-31,2013,1083.758355006502,1136.1215214564368,21.0
Pácora,2014-12-31,2014,1124.040279583875,1147.7910273081923,21.0
Pácora,2015-12-31,2015,1133.2526983094929,1190.7427828348505,21.0
Pácora,2016-12-31,2016,1057.45211313394,1130.6009102730818,21.0
Pácora,2017-12-31,2017,1123.9563394018203,1144.7082249674902,21.0
Pácora,2018-12-31,2018,1080.1702210663198,1099.4985045513654,21.0
Pácora,2019-12-31,2019,1129.5314369310793,1257.6699284785434,21.0
Pácora,2020-12-31,2020,1178.5748374512352,1274.6452535760727,21.0
Pácora,2021-12-31,2021,1121.4036085825746,1170.1540637191156,21.0
Pácora,2022-12-31,2022,1110.2704486345901,1110.937711313394,21.0
Pácora,2023-12-31,2023,1170.2823146944081,1195.163101430429,21.0
Pácora,2024-12-31,2024,1052.8212938881663,1228.4900845253576,21.0
Riosucio,2005-12-31,2005,1043.0769331016509,1043.6950477845355,30.0
Riosucio,2006-12-31,2006,1044.3412250217204,1050.6142484795832,30.0
Riosucio,2007-12-31,2007,997.617571676803,1036.7900086880975,30.0
Riosucio,2008-12-31,2008,1030.5086446568205,1030.8732406602958,30.0
Riosucio,2009-12-31,2009,1069.0900521285841,1070.281993918332,30.0
Riosucio,2010-12-31,2010,991.1597306689837,1078.0830799304954,30.0
Riosucio,2011-12-31,2011,1059.6580799304957,1059.6759774109473,30.0
Riosucio,2012-12-31,2012,1102.6972198088622,1105.4222415291053,30.0
Riosucio,2013-12-31,2013,1040.1677888792356,1081.5423110338838,30.0
Riosucio,2014-12-31,2014,1080.5402693310168,1094.3643570807997,30.0
Riosucio,2015-12-31,2015,1097.9591659426587,1141.77832319722,30.0
Riosucio,2016-12-31,2016,1010.7828410078196,1078.2002823631628,30.0
Riosucio,2017-12-31,2017,1085.909991311903,1093.642723718506,30.0
Riosucio,2018-12-31,2018,1037.6424847958301,1051.0238488271073,30.0
Riosucio,2019-12-31,2019,1171.7912250217205,1209.0960251954825,30.0
Riosucio,2020-12-31,2020,1155.186772371851,1228.935556038228,30.0
Riosucio,2021-12-31,2021,1100.323349261512,1124.656342311034,30.0
Riosucio,2022-12-31,2022,1070.8351433536059,1070.8700260642922,30.0
Riosucio,2023-12-31,2023,1138.7764986967857,1141.1964813205911,30.0
Riosucio,2024-12-31,2024,1056.7420938314513,1164.3049522154652,30.0
Risaralda,2005-12-31,2005,1159.7433456561923,1163.3475970425138,15.0
Risaralda,2006-12-31,2006,1162.4411275415898,1172.6753234750463,15.0
Risaralda,2007-12-31,2007,1101.7402957486138,1162.117652495379,15.0
Risaralda,2008-12-31,2008,1151.3790203327173,1151.6076709796673,15.0
Risaralda,2009-12-31,2009,1186.6978743068394,1197.7197781885397,15.0
Risaralda,2010-12-31,2010,1093.080406654344,1206.1251386321628,15.0
Risaralda,2011-12-31,2011,1180.623382624769,1180.623382624769,15.0
Risaralda,2012-12-31,2012,1221.442606284658,1229.2345656192238,15.0
Risaralda,2013-12-31,2013,1140.4195009242144,1209.701663585952,15.0
Risaralda,2014-12-31,2014,1184.078280961183,1220.42134935305,15.0
